ticker,venue,mic,exchange_symbol,isin,legal_name,identity_source_url,resolved_at
PAR.MC,bme_growth,,PAR,ES0105561007,PARLEM TELECOM COMPANYIA DE TELECOMUNICA,https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
RBT.MC,bme_growth,,RBT,ES0105225009,"ROBOT, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
RDG.MC,bme_growth,,RDG,ES0105857033,"REDEGAL, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
RSS.MC,bme_growth,,RSS,ES0105717005,REVENGA INGENIEROS S.A.,https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
SAI.MC,bme_growth,,SAI,ES0105650008,"SUBSTRATE ARTIFICIAL INTELLIGENCE, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
SCO.MC,bme_growth,,SCO,ES0175589029,"SERESCO, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
SEC.MC,bme_growth,,SEC,ES0131703003,"SECUOYA GRUPO DE COMUNICACION, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
SNG.MC,bme_growth,,SNG,ES0105611000,"SINGULAR PEOPLE,S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
SPH.MC,bme_growth,,SPH,ES0105621009,"PROFITHOL, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
STNA.MC,bme_growth,,STNA,ES0105852000,"SANTA ANA GLOBAL ENTERPRISES, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
TQT.MC,bme_growth,,TQT,ES0105076006,"TECHNOMECA AEROSPACE, S.A",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
TRTK.MC,bme_growth,,TRTK,ES0105909008,"TREE TECHNOLOGY, S.A",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
UMB.MC,bme_growth,,UMB,ES0105670006,"UMBRELLA GLOBAL ENERGY, S.A",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
VANA.MC,bme_growth,,VANA,ES0105716130,VANADI COFFEE S.A.,https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
VYT.MC,bme_growth,,VYT,ES0105618005,"VYTRUS BIOTECH, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YABA.MC,bme_growth,,YABA,ES0105098000,"JABA I INV. INMOBILIARIAS, SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YADR.MC,bme_growth,,YADR,ES0105405007,"ADRIANO CARE SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YADV.MC,bme_growth,,YADV,ES0105448007,"ADVERO PROPERTIES SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YAI1.MC,bme_growth,,YAI1,ES0105495008,ALL IRON RE I SOCIMI S.A.,https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YARP.MC,bme_growth,,YARP,ES0105383006,"ARRIENDA RENTAL PROPERTIES SOCIMI,S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YATO.MC,bme_growth,,YATO,ES0105318002,"ATOM HOTELES SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YAZR.MC,bme_growth,,YAZR,ES0105373007,"AZARIA RENTAL SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YBAR.MC,bme_growth,,YBAR,ES0105284006,"BARCINO PROPERTY SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YCPS.MC,bme_growth,,YCPS,ES0105360004,"CASTELLANA PROPERTIES SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YDOA.MC,bme_growth,,YDOA,ES0105120002,"INVERSIONES DOALCA, SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YEIS.MC,bme_growth,,YEIS,ES0105281002,"ELAIA INVESTMENT SPAIN SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YENT.MC,bme_growth,,YENT,ES0131172001,"ENTRECAMPOS CUATRO, SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YEPSA.MC,bme_growth,,YEPSA,ES0105685004,"EMPERADOR PROPERTIES SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YEUR.MC,bme_growth,,YEUR,ES0105175006,"EURO CERVANTES, SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YFID.MC,bme_growth,,YFID,ES0105071007,"FIDERE PATRIMONIO, SOCIMI, S.A.U.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YGMP.MC,bme_growth,,YGMP,ES0105134011,"GMP PROPERTY SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YGO2.MC,bme_growth,,YGO2,ES0105436002,"GREENOAK SPAIN HOLDINGS SOCIMI II, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YGOP.MC,bme_growth,,YGOP,ES0105273009,"GOP PROPERTIES SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YHCR.MC,bme_growth,,YHCR,ES0105465001,"HOME CAPITAL RENTALS SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YHSP.MC,bme_growth,,YHSP,ES0105379004,"HISPANOTELS INVERSIONES SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YHTI.MC,bme_growth,,YHTI,ES0105407003,"HOTEI PROPERTIES GROUP SOCIMI, S.A",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YIBI.MC,bme_growth,,YIBI,ES0105633004,"IBI LION SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
