ticker,venue,mic,exchange_symbol,isin,legal_name,identity_source_url,resolved_at
KME.WA,newconnect,,KME,PLMDIUS00018,Kancelaria Medius SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
KOR.WA,newconnect,,KOR,PLKRBNK00019,Korbank S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
KPC.WA,newconnect,,KPC,PLKUPIC00010,Kupiec SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
KPI.WA,newconnect,,KPI,PLKPWEC00015,Kancelaria Prawna - Inkaso WEC S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
KUB.WA,newconnect,,KUB,PLKBT0000015,Kubota SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
LBD.WA,newconnect,,LBD,PLFBRD000018,Lokaty Budowlane S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
LCN.WA,newconnect,,LCN,PLCCTLS00017,Labocanna SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
LEG.WA,newconnect,,LEG,PLLGIMI00029,Legimi Spolka Akcyjna,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
LET.WA,newconnect,,LET,PLGDVIS00018,Letus Capital S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
LFR.WA,newconnect,,LFR,PLLFTER00018,Liftero S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
LGT.WA,newconnect,,LGT,PLLGNTD00017,Logintrade SA Class C,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
LHD.WA,newconnect,,LHD,PLLCHND00029,Lichthund S.A.,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
LMG.WA,newconnect,,LMG,PLLVMGM00016,Live Motion Games SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
LTM.WA,newconnect,,LTM,PLLNTRG00017,Longterm Games SA,https://scanner.tradingview.com/poland/scan,2026-08-05T13:07:23.253685+00:00
